2018-03-21 23:02:50.275072: step 0, duration = 0.051
2018-03-21 23:02:50.275199: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:51.987555: step 0, duration = 0.052
2018-03-21 23:02:51.987707: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:02:53.731102: step 0, duration = 0.051
2018-03-21 23:02:53.731175: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:55.434038: step 0, duration = 0.052
2018-03-21 23:02:55.434164: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:02:57.058273: step 0, duration = 0.051
2018-03-21 23:02:57.058344: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:02:58.653674: step 0, duration = 0.037
2018-03-21 23:02:58.653828: Forward-backward across 1 steps, 0.037 +/- 0.000 sec / batch
2018-03-21 23:03:00.361600: step 0, duration = 0.050
2018-03-21 23:03:00.361677: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:03:02.084386: step 0, duration = 0.053
2018-03-21 23:03:02.084537: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:03:03.737549: step 0, duration = 0.052
2018-03-21 23:03:03.737703: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:05.581152: step 0, duration = 0.051
2018-03-21 23:03:05.581229: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:03:07.298203: step 0, duration = 0.053
2018-03-21 23:03:07.298330: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:03:09.018927: step 0, duration = 0.039
2018-03-21 23:03:09.018992: Forward-backward across 1 steps, 0.039 +/- 0.000 sec / batch
2018-03-21 23:03:10.660216: step 0, duration = 0.051
2018-03-21 23:03:10.660293: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:03:12.432371: step 0, duration = 0.052
